ZCTA5,STATE,STUSAB,STATE_NAME
2818,44,RI,Rhode Island
2822,44,RI,Rhode Island
2825,44,RI,Rhode Island
2826,44,RI,Rhode Island
2827,44,RI,Rhode Island
2828,44,RI,Rhode Island
2830,44,RI,Rhode Island
2831,44,RI,Rhode Island
2832,44,RI,Rhode Island
2833,44,RI,Rhode Island
2835,44,RI,Rhode Island
2836,44,RI,Rhode Island
2837,44,RI,Rhode Island
2838,44,RI,Rhode Island
2839,44,RI,Rhode Island
2840,44,RI,Rhode Island
2841,44,RI,Rhode Island
2842,44,RI,Rhode Island
2852,44,RI,Rhode Island
2857,44,RI,Rhode Island
2858,44,RI,Rhode Island
2859,44,RI,Rhode Island
2860,44,RI,Rhode Island
2861,44,RI,Rhode Island
2863,44,RI,Rhode Island
2864,44,RI,Rhode Island
2865,44,RI,Rhode Island
2871,44,RI,Rhode Island
2872,44,RI,Rhode Island
2873,44,RI,Rhode Island
2874,44,RI,Rhode Island
2875,44,RI,Rhode Island
2876,44,RI,Rhode Island
2878,44,RI,Rhode Island
2879,44,RI,Rhode Island
2881,44,RI,Rhode Island
2882,44,RI,Rhode Island
2885,44,RI,Rhode Island
2886,44,RI,Rhode Island
2888,44,RI,Rhode Island
2889,44,RI,Rhode Island
2891,44,RI,Rhode Island
2892,44,RI,Rhode Island
2893,44,RI,Rhode Island
2894,44,RI,Rhode Island
2895,44,RI,Rhode Island
2896,44,RI,Rhode Island
2898,44,RI,Rhode Island
2903,44,RI,Rhode Island
2904,44,RI,Rhode Island
2905,44,RI,Rhode Island
2906,44,RI,Rhode Island
2907,44,RI,Rhode Island
2908,44,RI,Rhode Island
2909,44,RI,Rhode Island
2910,44,RI,Rhode Island
2911,44,RI,Rhode Island
2912,44,RI,Rhode Island
2914,44,RI,Rhode Island
2915,44,RI,Rhode Island
2916,44,RI,Rhode Island
2917,44,RI,Rhode Island
2919,44,RI,Rhode Island
2920,44,RI,Rhode Island
2921,44,RI,Rhode Island
3031,33,NH,New Hampshire
3032,33,NH,New Hampshire
3033,33,NH,New Hampshire
3034,33,NH,New Hampshire
3036,33,NH,New Hampshire
3037,33,NH,New Hampshire
3038,33,NH,New Hampshire
3042,33,NH,New Hampshire
3043,33,NH,New Hampshire
3044,33,NH,New Hampshire
3045,33,NH,New Hampshire
3046,33,NH,New Hampshire
3047,33,NH,New Hampshire
3048,33,NH,New Hampshire
3049,33,NH,New Hampshire
3051,33,NH,New Hampshire
3052,33,NH,New Hampshire
3053,33,NH,New Hampshire
3054,33,NH,New Hampshire
3055,33,NH,New Hampshire
3057,33,NH,New Hampshire
3060,33,NH,New Hampshire
3062,33,NH,New Hampshire
3063,33,NH,New Hampshire
3064,33,NH,New Hampshire
3070,33,NH,New Hampshire
3071,33,NH,New Hampshire
3076,33,NH,New Hampshire
3077,33,NH,New Hampshire
3079,33,NH,New Hampshire
3082,33,NH,New Hampshire
3084,33,NH,New Hampshire
3086,33,NH,New Hampshire
3087,33,NH,New Hampshire
3101,33,NH,New Hampshire
3102,33,NH,New Hampshire
3103,33,NH,New Hampshire
3104,33,NH,New Hampshire
3106,33,NH,New Hampshire
3109,33,NH,New Hampshire
3110,33,NH,New Hampshire
3215,33,NH,New Hampshire
3216,33,NH,New Hampshire
3217,33,NH,New Hampshire
3218,33,NH,New Hampshire
3220,33,NH,New Hampshire
3221,33,NH,New Hampshire
3222,33,NH,New Hampshire
3223,33,NH,New Hampshire
3224,33,NH,New Hampshire
3225,33,NH,New Hampshire
3226,33,NH,New Hampshire
3227,33,NH,New Hampshire
3229,33,NH,New Hampshire
3230,33,NH,New Hampshire
3231,33,NH,New Hampshire
3233,33,NH,New Hampshire
3234,33,NH,New Hampshire
3235,33,NH,New Hampshire
3237,33,NH,New Hampshire
3238,33,NH,New Hampshire
3240,33,NH,New Hampshire
3241,33,NH,New Hampshire
3242,33,NH,New Hampshire
3243,33,NH,New Hampshire
3244,33,NH,New Hampshire
3245,33,NH,New Hampshire
3246,33,NH,New Hampshire
3249,33,NH,New Hampshire
3251,33,NH,New Hampshire
3253,33,NH,New Hampshire
3254,33,NH,New Hampshire
3255,33,NH,New Hampshire
3256,33,NH,New Hampshire
3257,33,NH,New Hampshire
3258,33,NH,New Hampshire
3259,33,NH,New Hampshire
3260,33,NH,New Hampshire
3261,33,NH,New Hampshire
3262,33,NH,New Hampshire
3263,33,NH,New Hampshire
3264,33,NH,New Hampshire
3266,33,NH,New Hampshire
3268,33,NH,New Hampshire
3269,33,NH,New Hampshire
3273,33,NH,New Hampshire
3275,33,NH,New Hampshire
3276,33,NH,New Hampshire
3278,33,NH,New Hampshire
3279,33,NH,New Hampshire
3280,33,NH,New Hampshire
3281,33,NH,New Hampshire
3282,33,NH,New Hampshire
3284,33,NH,New Hampshire
3285,33,NH,New Hampshire
3287,33,NH,New Hampshire
3290,33,NH,New Hampshire
3291,33,NH,New Hampshire
3293,33,NH,New Hampshire
3301,33,NH,New Hampshire
3303,33,NH,New Hampshire
3304,33,NH,New Hampshire
3307,33,NH,New Hampshire
3431,33,NH,New Hampshire
3440,33,NH,New Hampshire
3441,33,NH,New Hampshire
3442,33,NH,New Hampshire
3443,33,NH,New Hampshire
3444,33,NH,New Hampshire
3445,33,NH,New Hampshire
3446,33,NH,New Hampshire
3447,33,NH,New Hampshire
3448,33,NH,New Hampshire
3449,33,NH,New Hampshire
3450,33,NH,New Hampshire
3451,33,NH,New Hampshire
3452,33,NH,New Hampshire
3455,33,NH,New Hampshire
3456,33,NH,New Hampshire
3457,33,NH,New Hampshire
3458,33,NH,New Hampshire
3461,33,NH,New Hampshire
3462,33,NH,New Hampshire
3464,33,NH,New Hampshire
3465,33,NH,New Hampshire
3466,33,NH,New Hampshire
3467,33,NH,New Hampshire
3470,33,NH,New Hampshire
3561,33,NH,New Hampshire
3570,33,NH,New Hampshire
3574,33,NH,New Hampshire
3575,33,NH,New Hampshire
3576,33,NH,New Hampshire
3579,33,NH,New Hampshire
3580,33,NH,New Hampshire
3581,33,NH,New Hampshire
3582,33,NH,New Hampshire
3583,33,NH,New Hampshire
3584,33,NH,New Hampshire
3585,33,NH,New Hampshire
3586,33,NH,New Hampshire
3588,33,NH,New Hampshire
3590,33,NH,New Hampshire
3592,33,NH,New Hampshire
3593,33,NH,New Hampshire
3595,33,NH,New Hampshire
3597,33,NH,New Hampshire
3598,33,NH,New Hampshire
3601,33,NH,New Hampshire
3602,33,NH,New Hampshire
3603,33,NH,New Hampshire
3604,33,NH,New Hampshire
3605,33,NH,New Hampshire
3607,33,NH,New Hampshire
3608,33,NH,New Hampshire
3609,33,NH,New Hampshire
3740,33,NH,New Hampshire
3741,33,NH,New Hampshire
3743,33,NH,New Hampshire
3745,33,NH,New Hampshire
3746,33,NH,New Hampshire
3748,33,NH,New Hampshire
3750,33,NH,New Hampshire
3751,33,NH,New Hampshire
3752,33,NH,New Hampshire
3753,33,NH,New Hampshire
3754,33,NH,New Hampshire
3755,33,NH,New Hampshire
3765,33,NH,New Hampshire
3766,33,NH,New Hampshire
3768,33,NH,New Hampshire
3770,33,NH,New Hampshire
3771,33,NH,New Hampshire
3773,33,NH,New Hampshire
